"release_year","Comedy","Comedy, Drama","Documentary","Drama","Drama, Romance"
"2010","55","23","37","77","34"
"2011","73","30","29","80","28"
"2012","62","23","31","88","34"
"2013","74","30","34","91","29"
"2014","59","19","20","109","31"
"2015","50","23","32","81","22"
"2016","47","30","19","83","42"
"2017","49","30","35","72","30"
"2018","48","25","18","70","24"
"2019","44","25","25","72","29"
"2020","42","22","37","85","53"
"2021","19","21","23","72","31"
"2022","23","18","40","63","14"
"2023","37","26","19","74","20"
"2024","39","23","32","85","19"
"2025","31","15","91","98","16"
